⺀	⿱丶丶
㕖	⿱⿱厶⿰厶厶木
㕗	⿺⿱𦍌⿰𠂊乀厶
㕘	⿱⿱⿱厶⿰厶厶人小
㕚	〾爪
㕛	⿱又又
㕜	〾史
㕝	⿱⿱十口又
㕞	⿰⿸尸巾又
㕠	⿱⿰冫隹又
㕣	⿱几口
㕤	⿰口九
㕥	⿰口人
㕦	⿱口大
㕧	⿰口尸
㕨	⿰口⿵几丶
㕩	⿰口丰
㕪	⿰口冘
㕫	⿰口方
㕬	⿰口公
㕭	⿰口⿱丿大
㕮	⿰口父
㕰	⿰口毛
㕱	⿰口⿺尢丶
㕲	⿰口木
㕳	⿰口⿶凵㐅
㕴	⿰口⿱冖几
㕵	⿰口王
㕶	⿰口五
㕷	⿰口白
㕸	⿰口立
㕹	⿰口犮
㕺	⿱吅丂
㕻	⿱丶⿱⿸丆卜口
㕼	⿰口⿹勹⿶凵㐅
㕾	⿱小⿰口𠤎
㕿	⿱禾口
㖀	⿰口聿
㖁	⿰口⿱乂厷
㖄	⿰口州
㖅	⿰口戌
㖇	⿰口而
㖈	⿱老口
㖉	⿰口⿱𠆢止
㖊	⿰口⿱彐寸
㖋	⿱⿱𠆢⿰丿丨⿰口𠤎
㖌	⿱⿰亻九⿰口𠤎
㖍	⿱斗⿰口𠤎
㖎	⿱⿰口𠤎⿱𠆢⿰丿丨
㖏	⿰口⿱日土
㖑	⿰口⿹戈廾
㖒	⿰口⿹丿⿱八⿻弓丨
㖓	⿰口夆
㖔	⿰口⿱天口
㖕	⿰口辛
㖖	⿱辛口
㖗	⿰口⿱山⿱⿱𠆢丶乛
㖘	⿰口辰
㖙	⿱⿰力口⿰口𠤎
㖚	⿱⿰亻寸⿰口𠤎
㖛	⿱⿱十口⿰口𠤎
㖜	⿳亠口⿰口𠤎
㖝	⿱未⿰口𠤎
㖞	⿰口⿱口⿻冂人
㖟	⿰口⿳爫冖又
㖠	⿰口⿱大示
㖡	⿰口⿱亠⿰亻⿴夂丶
㖢	⿰口⿸广⿰止匕
㖣	⿰口咅
㖥	⿰口⿴囗禾
㖦	⿰口東
㖧	⿰口⿱氏日
㖨	⿰口⿱彐氺
㖩	⿰口⿰耳又
㖪	⿰口⿹⿹戈口一
㖫	⿰口夌
㖬	⿰口⿱臼又
㖭	⿰口⿱⿱丿大〾心
㖮	⿰口侖
㖯	⿱⿵⿵冂一口⿰口𠤎
㖰	⿱⿰口𠤎⿵⿵冂一口
㖱	⿱⿱亠⿰亻⿴夂丶口
㖲	⿱⿰女口⿰口𠤎
㖳	⿱⿰氵女⿰口𠤎
㖴	⿰口⿱艹⿹勹⿱丿丿
㖵	⿰口⿳目一八
㖶	⿰口⿱覀土
㖷	⿰口⿱日𤴓
㖸	⿰口⿸虍⿷匚一
㖹	⿰口⿱⿱八刀皿
㖺	⿰口⿱⿻人三日
㖻	⿰口⿱矛木
㖼	⿰口⿱甘木
㖽	⿰口頁
㖾	⿱吅屰
㖿	⿰口⿰耳阝
㗀	⿰口⿻山⿰幺幺
㗁	⿰口⿱吅亏
㗂	⿰口⿱⿱小丿目
㗃	⿰口⿱民日
㗄	⿰口⿱罒方
㗅	⿰口⿰⿱十口月
㗆	⿰口革
㗇	⿰口叚
㗈	⿰口⿱⿱龴用力
㗉	⿱⿰龶刀⿱夂口
㗊	⿰⿱口口⿱口口
㗋	⿰口⿸厃矢
㗌	⿰口⿱宀至
㗍	⿰口香
㗎	⿰口⿱⿰力口木
㗏	⿰口⿱⿱⿸丆卜一止
㗐	⿰口⿱⿵大丶皿
㗑	⿰口⿰龵⿱一丰
㗒	⿰口⿴衣口
㗓	⿰口⿺辶𠂤
㗔	⿰口⿸虍文
㗕	⿰口⿱⿻龷一冉
㗖	⿰口⿱爫臼
㗘	⿰口尃
㗙	⿰口⿱⿹勹屮⿹勹屮
㗚	⿰口⿱覀木
㗛	⿰口⿱〾竹⿱丿大
㗜	⿰口⿱玄田
㗝	⿰口⿱𦍌灬
㗞	⿰口⿰石皮
㗟	⿱⿰氵⿱亠土⿰口𠤎
㗠	⿱⿰女⿱厶口⿰口𠤎
㗢	⿰口⿰⿻⿱丿土⿱日一力
㗣	⿰口⿳⿻廿儿冖巾
㗤	⿱⿵戊⿱上小口
㗥	⿰口⿰⿱亠⿱口子阝
㗦	⿰口⿰耳卯
㗧	⿰口⿱穴至
㗨	⿱⿰⿷匸矢殳口
㗩	⿰口⿱羽白
㗪	⿰口⿱⿰止匕糸
㗬	⿱〾尚⿱夕夕
㗭	⿰口⿱釆心
㗮	⿰⿱夕口庚
㗯	⿱⿸耂日⿰口𠤎
㗰	⿰口⿰彳⿱从龰
㗱	⿰口⿱隹木
㗲	⿰口⿳聿田一
㗳	⿰口⿱〾竹⿱亼口
㗴	⿰口⿵門月
㗵	⿰口⿰⿱火火欠
㗶	⿰口⿱癶⿰弓殳
㗷	⿰口⿳宀⿻龷一贝
㗸	⿰口⿴行缶
㗹	⿰口⿱隹心
㗺	⿰口⿱⿱丿大非
㗻	⿰口⿺辶咼
㗼	⿰口⿱业⿱䒑未
㗽	⿱⿰乡⿰⿱丶艮阝口
