⺀	⿱丶丶
㚃	⿳士冖⿱凶䒑
㚄	⿳士冖⿱田疋
㚅	⿱夂⿱一生
㚆	⿱〾旨夂
㚇	⿱兇夂
㚈	〾外
㚉	⿱乃多
㚊	⿰多亥
㚋	⿰多周
㚌	⿰多果
㚍	⿰多貴
㚎	⿱大凵
㚏	⿱大廾
㚐	〾套
㚑	⿱彐大
㚒	⿻大⿰入入
㚓	⿱大木
㚔	〾幸
㚕	⿱大弗
㚖	⿱白大
㚗	⿱大且
㚘	〾伴
㚙	⿱加大
㚚	⿱大名
㚛	〾奢
㚜	〾域
㚝	⿱大佳
㚞	⿱大林
㚟	⿱㲋大
㚠	⿱大羔
㚡	⿰奇奇
㚢	〾奴
㚣	〾姣
㚤	⿰女弋
㚥	⿰女于
㚦	〾姬
㚧	⿰女广
㚨	⿰女卂
㚩	⿰女冄
㚪	⿰女毛
㚫	⿰女及
㚬	⿰女勻
㚭	⿰女尤
㚮	⿰女冗
㚯	⿰女风
㚰	〾胚
㚱	⿰女丘
㚲	⿰女占
㚳	⿰女加
㚴	⿰女布
㚵	⿰女冬
㚶	〾姒
㚷	⿰女尒
㚸	⿰女司
㚹	⿰女卯
㚺	〾孕
㚼	⿰女田
㚽	⿱巧女
㚾	⿰女兄
㚿	⿰女包
㛀	⿰女⿱𠂊彐
㛁	⿰女平
㛂	⿰女〾厄
㛃	⿱⿰龶刀女
㛄	⿰女衣
㛅	⿰女耳
㛆	⿰女〾朵
㛇	⿰女庄
㛈	⿰女考
㛉	⿰女西
㛊	⿰女朵
㛋	〾奶
㛌	⿰女牟
㛍	⿰女夾
㛎	⿰女呂
㛏	⿰女求
㛐	〾嫂
㛑	⿱⿰歺又女
㛒	⿰女豆
㛓	⿰女希
㛔	⿰女夆
㛕	⿰女邑
㛖	⿰女夋
㛗	⿰女坐
㛘	⿰女孛
㛙	⿰女辛
㛚	⿰女甬
㛛	〾娠
㛜	⿱攸女
㛝	⿰女貝
㛞	⿰女弄
㛟	⿰女⿳𠂊冂大
㛠	⿰女间
㛡	⿰女完
㛢	⿰女秀
㛣	⿰女员
㛤	⿰女丽
㛥	⿰女沓
㛦	⿰女林
㛧	⿰女岩
㛨	⿰女羌
㛩	⿰女育
㛪	⿰女奄
㛫	⿰女易
㛬	⿰女坴
㛭	⿰女昔
㛮	⿰女〾叟
㛯	〾娩
㛰	〾婚
㛲	⿰女頁
㛳	⿱帝女
㛴	⿰女⿱巛囟
㛵	⿰女⿱爫冉
㛶	⿰女炭
㛷	⿱⿰禾尤女
㛸	⿰女壴
㛹	⿰女便
㛺	⿰女音
㛻	⿰女奎
㛽	⿰女〾屎
㛾	⿰女咸
㛿	⿰女带
㜀	〾孀
㜁	⿰女查
㜂	⿱封女
㜃	⿰女信
㜄	⿰女風
㜅	⿰女畜
㜆	⿰女迷
㜇	⿰女恚
㜈	⿱務女
㜉	⿰女邕
㜊	⿰女展
㜋	⿰女益
㜌	⿹⿰⿳士冖一殳女
㜍	⿰女唐
㜎	⿰女奚
㜏	⿰女員
㜐	⿰女豈
㜑	〾婆
㜒	⿰女舁
㜓	⿰女荅
㜔	⿰女竞
㜕	⿰女連
㜖	⿰女曹
㜗	⿰女參
㜘	⿰女⿸虍且
㜙	⿰女鹿
㜚	⿰女宿
㜛	〾嫩
㜜	〾傲
㜝	⿰女酓
㜞	⿱斬女
㜟	⿰女敢
㜠	⿰女崔
㜡	⿰女從
㜢	⿰女婁
㜣	⿰女然
㜤	⿰女覃
㜥	⿰女買
㜦	⿰女尋
㜧	⿰女厥
㜨	⿰女犀
㜩	⿰女奧
㜪	⿱新女
㜫	〾美
㜬	⿰女詹
㜭	⿰女當
㜮	⿰女監
㜯	⿰女熙
㜰	⿰女樂
㜱	⿰女質
㜲	⿰女嬴
㜴	⿰女⿳⿱艹罒冖目
㜵	⿰女⿴衣馬
㜶	⿰女毚
㜷	⿱彌女
㜸	⿱薛女
㜹	⿰女瞿
㜺	⿰女贊
㜻	⿰女戀
㜼	⿰女疊
㜽	〾子
㜾	〾孩
㜿	⿰子予
㝀	〾好
㝁	⿱旬子
㝂	⿰子折
㝃	〾娩
㝄	⿰享屯
㝅	⿰〾斛殳
㝆	⿰子喜
㝇	⿰享享
㝈	⿱⿰糸⿰訁糸〾滋
㝉	⿱宀一
㝊	〾守
㝋	⿱宀了
㝌	〾疚
㝍	⿱宀与
㝎	〾定
㝏	⿱宀介
㝐	〾容
㝑	⿱宀方
㝒	〾居
㝓	⿱宀合
㝔	⿱宀交
㝕	⿱⿱宀心又
㝖	〾宜
㝗	⿱宀良
㝘	⿱宀言
㝙	〾寅
㝚	⿱宀延
㝛	〾宿
㝜	⿱宀昔
㝝	⿱宀林
㝞	⿱宀亞
㝟	⿱⿱宀一見
㝠	〾冥
㝡	〾最
㝢	〾宇
㝣	⿱宀契
㝤	⿱宀冓
㝥	⿸⿱宀爿米
㝦	〾寯
㝧	⿱安坐
㝨	〾寰
㝩	⿱宀康
㝪	⿱宀執
㝫	⿱宀隆
㝬	⿰害夫
㝭	〾醒
㝮	⿱宀⿰祟又
㝯	⿱宀喬
㝰	⿱宀⿳自穴方
㝱	⿸⿱宀爿夢
㝲	⿸⿱宀爿⿳⿱艹罒冖帚
㝳	⿸朩丶
㝴	⿺元寸
㝵	⿱旦寸
㝶	〾得
㝷	⿳彐⿰工凡寸
㝸	〾弁
㝹	⿱少兔
㝺	⿰兼少
㝻	⿰堇少
㝼	⿺尢于
㝽	⿺尢水
㝾	⿺尢左
㝿	⿺尢皮
㞀	⿺尢灰
㞁	⿺尢〾杳
㞂	⿺尢妥
㞃	⿰谷尤
㞄	⿺尢奄
㞅	⿺尢果
㞆	⿺尢奇
㞇	⿺尢畏
㞈	⿺尢扁
㞉	⿺尢差
㞊	⿰祟尢
㞋	⿸尸又
㞌	〾孕
㞍	〾尻
㞎	⿸尸巴
㞏	⿸尸乏
㞐	⿸尸立
㞑	〾尾
㞒	⿸尸自
㞓	⿸尸旨
㞔	⿸尸多
㞕	〾屑
㞖	⿸尸朿
㞗	⿸尸求
㞘	⿸尸⿻豕丶
㞙	〾尿
㞛	⿸尸⿰彳旨
㞜	⿸尸⿰彳委
㞝	⿱戚尸
㞞	⿸尸從
㞟	⿸尸奠
㞠	⿸尸尞
㞢	〾之
㞣	〾芬
㞤	⿱山人
㞥	⿱山入
㞦	⿰山几
㞧	⿱山乃
㞨	⿰山子
㞩	⿱山凡
㞪	⿱彐山
㞫	〾走
㞬	⿱山工
㞭	⿱大山
㞮	〾出
㞯	⿱己山
㞰	⿰山午
㞱	⿱山日
㞲	⿰山中
㞳	⿰山斗
㞴	⿰山氏
㞵	⿱山文
㞶	〾岷
㞷	⿱⿻屮二一
㞸	⿱山不
㞹	〾岢
㞺	〾族
㞻	⿱山号
㞼	〾丞
㞽	⿰山戉
㞾	⿰山尼
㞿	⿱山支
㟀	⿱禾山
㟁	⿰山⿸厂干
㟂	⿰山母
㟃	⿰山司
㟄	⿰山羊
㟅	⿰山兇
㟆	⿰山华
㟇	⿰山坐
㟈	⿰山求
㟉	⿰山牢
㟊	⿰山孚
㟋	⿰山⿱丷兄
㟌	⿰山⿺⿺尢彡丶
㟍	⿰山良
㟎	⿰山妥
㟏	⿰山含
㟐	⿰山芒
㟑	⿰山孛
㟒	⿱山君
㟓	⿰山希
㟔	⿱山含
㟕	⿱山〾叫
㟖	⿱山弄
㟗	〾豳
㟘	⿰山周
㟙	⿰山昔
㟚	⿱枝山
㟛	〾嵌
㟜	⿱山弥
㟝	⿰山咅
㟞	⿰山⿱戈戈
㟟	⿱山巷
㟠	⿰山岡
㟡	⿱山卷
㟢	⿱山奇
㟣	〾嵩
㟤	⿱山录
㟥	⿱山参
㟦	⿱山軍
㟧	⿱山咢
㟨	⿰山耑
㟩	〾岷
㟪	⿰山畏
㟫	〾泉
㟬	⿱山叟
㟭	〾岷
㟮	⿰山突
㟯	⿱山客
㟰	⿰山冥
㟱	⿰山羔
㟲	⿰山原
㟳	⿰山栗
㟴	⿰山鬼
㟵	⿱山罡
㟶	⿱山原
㟷	⿰山荅
㟸	⿰山皋
㟹	⿰山聊
㟺	⿱山婁
㟻	⿱斬山
㟼	⿱山敖
㟽	⿰山票
㟾	⿰山庸
㟿	⿰山莽
㠀	⿱鳥山
㠁	⿰山參
㠂	⿰山敖
㠃	⿰山啇
㠄	⿱山習
㠅	⿱山復
㠆	⿰山單
㠇	⿱山就
㠈	⿰山閏
㠉	⿰山童
㠊	⿰山虚
